"storm_id","usa_atcf_id","date","latitude","longitude","wind"
"Chris-1988","AL031988","198808260600",20.5,-73.2,30
"Chris-1988","AL031988","198808261200",21.5,-74.2,30
"Chris-1988","AL031988","198808261800",22.5,-75.4,30
"Chris-1988","AL031988","198808270000",23.3,-76.2,30
"Chris-1988","AL031988","198808270600",24.1,-77.2,30
"Chris-1988","AL031988","198808271200",24.9,-78.1,30
"Chris-1988","AL031988","198808271800",25.8,-79,30
"Chris-1988","AL031988","198808280000",26.8,-79.7,30
"Chris-1988","AL031988","198808280600",28.2,-80,40
"Chris-1988","AL031988","198808281200",30.8,-80.8,45
"Chris-1988","AL031988","198808281500",32,-80.9,40
"Chris-1988","AL031988","198808281800",32.8,-81.1,35
"Chris-1988","AL031988","198808290000",34.1,-81.1,25
"Chris-1988","AL031988","198808290600",35.8,-80.6,20
"Chris-1988","AL031988","198808291200",37.5,-79.5,20
"Chris-1988","AL031988","198808291800",39.2,-77.6,20
"Chris-1988","AL031988","198808300000",41.2,-73.6,20
"Chris-1988","AL031988","198808300600",43.5,-69.9,20
"Chris-1988","AL031988","198808301200",45,-65,25
"Chris-1988","AL031988","198808301800",46.5,-60,25
"Florence-1988","AL071988","198809070600",22.8,-92,25
"Florence-1988","AL071988","198809071200",22.8,-91.2,30
"Florence-1988","AL071988","198809071800",22.7,-90.2,40
"Florence-1988","AL071988","198809080000",22.6,-89.6,45
"Florence-1988","AL071988","198809080600",22.7,-89.8,45
"Florence-1988","AL071988","198809081200",23.1,-89.7,45
"Florence-1988","AL071988","198809081800",23.4,-89.5,45
"Florence-1988","AL071988","198809090000",24.2,-89.2,50
"Florence-1988","AL071988","198809090600",25,-89.2,50
"Florence-1988","AL071988","198809091200",26.1,-89.2,55
"Florence-1988","AL071988","198809091800",27.4,-89.2,65
"Florence-1988","AL071988","198809092300",28.5,-89.3,70
"Florence-1988","AL071988","198809100000",28.7,-89.3,70
"Florence-1988","AL071988","198809100200",29.1,-89.3,70
"Florence-1988","AL071988","198809100600",29.7,-89.7,60
"Florence-1988","AL071988","198809101200",30.7,-90.7,30
"Florence-1988","AL071988","198809101800",31.8,-91.5,20
"Florence-1988","AL071988","198809110000",32.4,-92.3,15
"Florence-1988","AL071988","198809110600",32.7,-93.3,15
"Florence-1988","AL071988","198809111200",33,-94.5,15
"Gilbert-1988","AL081988","198809081800",12,-54,25
"Gilbert-1988","AL081988","198809090000",12.7,-55.6,25
"Gilbert-1988","AL081988","198809090600",13.3,-57.1,30
"Gilbert-1988","AL081988","198809091200",14,-58.6,30
"Gilbert-1988","AL081988","198809091800",14.5,-60.1,35
"Gilbert-1988","AL081988","198809100000",14.8,-61.5,40
"Gilbert-1988","AL081988","198809100600",15,-62.8,45
"Gilbert-1988","AL081988","198809101200",15.3,-64.1,50
"Gilbert-1988","AL081988","198809101800",15.7,-65.4,55
"Gilbert-1988","AL081988","198809110000",15.9,-66.8,65
"Gilbert-1988","AL081988","198809110600",16.2,-68,80
"Gilbert-1988","AL081988","198809111200",16.1,-69.5,95
"Gilbert-1988","AL081988","198809111800",16.2,-70.7,100
"Gilbert-1988","AL081988","198809120000",16.8,-72,105
"Gilbert-1988","AL081988","198809120600",17.3,-73.7,110
"Gilbert-1988","AL081988","198809121200",17.6,-75.3,110
"Gilbert-1988","AL081988","198809121700",17.8,-76.8,115
"Gilbert-1988","AL081988","198809121800",17.9,-76.9,110
"Gilbert-1988","AL081988","198809130000",18.2,-78.5,110
"Gilbert-1988","AL081988","198809130600",18.5,-79.7,115
"Gilbert-1988","AL081988","198809131200",18.8,-81.1,125
"Gilbert-1988","AL081988","198809131800",19.4,-82.5,140
"Gilbert-1988","AL081988","198809140000",19.7,-83.8,160
"Gilbert-1988","AL081988","198809140600",19.9,-85.3,155
"Gilbert-1988","AL081988","198809141200",20.4,-86.5,145
"Gilbert-1988","AL081988","198809141500",20.7,-87,140
"Gilbert-1988","AL081988","198809141800",20.9,-87.8,130
"Gilbert-1988","AL081988","198809150000",21.3,-89.5,100
"Gilbert-1988","AL081988","198809150600",21.6,-90.7,90
"Gilbert-1988","AL081988","198809151200",21.9,-91.7,85
"Gilbert-1988","AL081988","198809151800",22.1,-92.8,90
"Gilbert-1988","AL081988","198809160000",22.5,-93.8,100
"Gilbert-1988","AL081988","198809160600",22.9,-94.8,110
"Gilbert-1988","AL081988","198809161200",23.7,-95.9,115
"Gilbert-1988","AL081988","198809161800",23.9,-97,115
"Gilbert-1988","AL081988","198809162200",24.2,-97.8,110
"Gilbert-1988","AL081988","198809170000",24.4,-98.2,80
"Gilbert-1988","AL081988","198809170600",24.8,-99.3,50
"Gilbert-1988","AL081988","198809171200",25,-100.5,35
"Gilbert-1988","AL081988","198809171800",25.4,-101.9,30
"Gilbert-1988","AL081988","198809180000",26,-103.2,30
"Gilbert-1988","AL081988","198809180600",27.6,-103.7,30
"Gilbert-1988","AL081988","198809181200",29.3,-102.6,25
"Gilbert-1988","AL081988","198809181800",31.5,-101.3,25
"Gilbert-1988","AL081988","198809190000",33.2,-99.7,25
"Gilbert-1988","AL081988","198809190600",35.8,-97.7,25
"Gilbert-1988","AL081988","198809191200",37.7,-93.2,25
"Gilbert-1988","AL081988","198809191800",40.2,-89.9,25
"Gilbert-1988","AL081988","198809200000",43.4,-86.5,25
"Keith-1988","AL121988","198811171800",14.9,-74.3,30
"Keith-1988","AL121988","198811180000",15,-75.5,30
"Keith-1988","AL121988","198811180600",15,-76.5,30
"Keith-1988","AL121988","198811181200",15,-77.7,30
"Keith-1988","AL121988","198811181800",15,-79,30
"Keith-1988","AL121988","198811190000",15,-79.9,30
"Keith-1988","AL121988","198811190600",15.1,-80.4,30
"Keith-1988","AL121988","198811191200",15.2,-81.2,30
"Keith-1988","AL121988","198811191800",15.5,-81.8,30
"Keith-1988","AL121988","198811200000",15.8,-82.6,30
"Keith-1988","AL121988","198811200600",16.3,-83.4,35
"Keith-1988","AL121988","198811201200",17.8,-84.5,40
"Keith-1988","AL121988","198811201800",19.1,-85.4,45
"Keith-1988","AL121988","198811210000",19.8,-86.1,60
"Keith-1988","AL121988","198811210600",20.7,-86.6,60
"Keith-1988","AL121988","198811210800",21.2,-86.8,60
"Keith-1988","AL121988","198811211200",21.8,-87,60
"Keith-1988","AL121988","198811211800",22.4,-87.2,60
"Keith-1988","AL121988","198811220000",23.1,-87,60
"Keith-1988","AL121988","198811220600",23.8,-86.8,55
"Keith-1988","AL121988","198811221200",24.4,-86.2,55
"Keith-1988","AL121988","198811221800",25.5,-85.1,55
"Keith-1988","AL121988","198811230000",26.5,-84.2,55
"Keith-1988","AL121988","198811230600",27.3,-82.8,55
"Keith-1988","AL121988","198811230700",27.3,-82.6,55
"Keith-1988","AL121988","198811231200",27.9,-81.3,35
"Keith-1988","AL121988","198811231800",28.9,-79.8,40
"Keith-1988","AL121988","198811240000",29.7,-77.7,50
"Keith-1988","AL121988","198811240600",31,-75.2,55
"Keith-1988","AL121988","198811241200",32.5,-70.5,60
"Keith-1988","AL121988","198811241800",34,-66,55
"Keith-1988","AL121988","198811250000",36,-60,50
"Keith-1988","AL121988","198811250600",39,-54,50
"Keith-1988","AL121988","198811251200",40,-49,50
"Keith-1988","AL121988","198811251800",44,-45,55
"Keith-1988","AL121988","198811260000",48,-43,65
"Keith-1988","AL121988","198811260600",52,-42,65
"Keith-1988","AL121988","198811261200",52.5,-44,65
"Keith-1988","AL121988","198811261800",52,-46,65
"AL13-1988","AL131988","198805311200",20.3,-84.7,25
"AL13-1988","AL131988","198805311800",21,-84,25
"AL13-1988","AL131988","198806010000",21,-84,25
"AL13-1988","AL131988","198806010600",21.4,-83.6,25
"AL13-1988","AL131988","198806011200",21.5,-83.4,25
"AL13-1988","AL131988","198806011800",22.5,-82.5,25
"AL13-1988","AL131988","198806020000",23,-82,25
"AL13-1988","AL131988","198806020600",24,-81,20
"AL13-1988","AL131988","198806021200",25,-80,20
"AL14-1988","AL141988","198808130000",25,-74.5,30
"AL14-1988","AL141988","198808130600",25.2,-75.3,30
"AL14-1988","AL141988","198808131200",27,-78,30
"AL14-1988","AL141988","198808131800",28.5,-78,30
"AL14-1988","AL141988","198808140000",30.5,-79.5,30
"AL14-1988","AL141988","198808140600",30.5,-81.3,30
"AL14-1988","AL141988","198808141200",30.5,-82,30
"AL17-1988","AL171988","198809040000",28,-93.5,30
"AL17-1988","AL171988","198809040600",28,-92.5,25
"Allison-1989","AL021989","198906241800",27,-96,30
"Allison-1989","AL021989","198906250000",27,-96,30
"Allison-1989","AL021989","198906250600",27.2,-96,30
"Allison-1989","AL021989","198906251200",27.4,-95.9,30
"Allison-1989","AL021989","198906251800",27.6,-95.8,30
"Allison-1989","AL021989","198906260000",27.8,-95.8,35
"Allison-1989","AL021989","198906260600",28.1,-95.8,35
"Allison-1989","AL021989","198906261200",28.6,-95.7,40
"Allison-1989","AL021989","198906261300",28.7,-95.7,40
"Allison-1989","AL021989","198906261800",29.1,-95.7,45
"Allison-1989","AL021989","198906270000",29.7,-95.7,45
"Allison-1989","AL021989","198906270600",30.2,-95.3,35
"Allison-1989","AL021989","198906271200",30.6,-94.9,30
"Allison-1989","AL021989","198906271800",30.9,-94.6,30
"Allison-1989","AL021989","198906280000",31.1,-94.2,30
"Allison-1989","AL021989","198906280600",31.1,-93.9,30
"Allison-1989","AL021989","198906281200",31,-93.7,30
"Allison-1989","AL021989","198906281800",30.6,-93.8,25
"Allison-1989","AL021989","198906290000",30.5,-94.2,25
"Allison-1989","AL021989","198906290600",30.3,-94.6,25
"Allison-1989","AL021989","198906291200",30.1,-95,25
"Allison-1989","AL021989","198906291800",29.8,-95.2,25
"Allison-1989","AL021989","198906300000",29.6,-95.3,20
"Allison-1989","AL021989","198906300600",29.7,-95.7,20
"Allison-1989","AL021989","198906301200",30.4,-95.7,20
"Allison-1989","AL021989","198906301800",31.1,-95.5,20
"Allison-1989","AL021989","198907010000",31.8,-95.1,20
"Allison-1989","AL021989","198907010600",32.3,-94.5,20
"Allison-1989","AL021989","198907011200",32.8,-93.8,20
"Chantal-1989","AL041989","198907301200",22.5,-90,20
"Chantal-1989","AL041989","198907301800",23.5,-90.2,25
"Chantal-1989","AL041989","198907310000",24.4,-90.5,30
"Chantal-1989","AL041989","198907310600",25.4,-91,35
"Chantal-1989","AL041989","198907311200",26.2,-91.7,50
"Chantal-1989","AL041989","198907311800",27.1,-92.2,55
"Chantal-1989","AL041989","198908010000",27.9,-92.8,65
"Chantal-1989","AL041989","198908010600",28.7,-93.5,70
"Chantal-1989","AL041989","198908011200",29.5,-94.3,70
"Chantal-1989","AL041989","198908011300",29.6,-94.4,70
"Chantal-1989","AL041989","198908011800",30.2,-95.2,50
"Chantal-1989","AL041989","198908020000",30.8,-96.1,35
"Chantal-1989","AL041989","198908020600",31.5,-96.9,25
"Chantal-1989","AL041989","198908021200",32.3,-97.5,20
"Chantal-1989","AL041989","198908021800",33.3,-98,20
"Chantal-1989","AL041989","198908030000",34.5,-98.5,20
"Hugo-1989","AL111989","198909101200",13.2,-20,25
"Hugo-1989","AL111989","198909101800",13.3,-21.8,25
"Hugo-1989","AL111989","198909110000",13.2,-23.7,30
"Hugo-1989","AL111989","198909110600",13,-25.5,30
"Hugo-1989","AL111989","198909111200",12.8,-27.3,30
"Hugo-1989","AL111989","198909111800",12.5,-29.2,35
"Hugo-1989","AL111989","198909120000",12.5,-31,40
"Hugo-1989","AL111989","198909120600",12.5,-32.9,45
"Hugo-1989","AL111989","198909121200",12.5,-34.8,45
"Hugo-1989","AL111989","198909121800",12.6,-36.7,50
"Hugo-1989","AL111989","198909130000",12.6,-38.2,55
"Hugo-1989","AL111989","198909130600",12.7,-40,55
"Hugo-1989","AL111989","198909131200",12.8,-41.8,60
"Hugo-1989","AL111989","198909131800",12.8,-43.5,65
"Hugo-1989","AL111989","198909140000",12.9,-44.9,70
"Hugo-1989","AL111989","198909140600",13,-46.3,80
"Hugo-1989","AL111989","198909141200",13.2,-47.8,85
"Hugo-1989","AL111989","198909141800",13.6,-49.1,90
"Hugo-1989","AL111989","198909150000",13.8,-50.5,100
"Hugo-1989","AL111989","198909150600",14,-51.9,110
"Hugo-1989","AL111989","198909151200",14.2,-53.3,125
"Hugo-1989","AL111989","198909151800",14.6,-54.6,140
"Hugo-1989","AL111989","198909160000",14.8,-56.1,135
"Hugo-1989","AL111989","198909160600",15.1,-57.3,130
"Hugo-1989","AL111989","198909161200",15.4,-58.4,120
"Hugo-1989","AL111989","198909161800",15.8,-59.4,120
"Hugo-1989","AL111989","198909170000",16.1,-60.4,120
"Hugo-1989","AL111989","198909170500",16.3,-61.3,120
"Hugo-1989","AL111989","198909170600",16.4,-61.5,120
"Hugo-1989","AL111989","198909171200",16.6,-62.5,125
"Hugo-1989","AL111989","198909171800",16.9,-63.5,125
"Hugo-1989","AL111989","198909180000",17.2,-64.1,130
"Hugo-1989","AL111989","198909180600",17.7,-64.8,120
"Hugo-1989","AL111989","198909181200",18.2,-65.5,110
"Hugo-1989","AL111989","198909181300",18.3,-65.6,110
"Hugo-1989","AL111989","198909181800",19.1,-66.4,105
"Hugo-1989","AL111989","198909190000",19.7,-66.8,100
"Hugo-1989","AL111989","198909190600",20.7,-67.3,90
"Hugo-1989","AL111989","198909191200",21.6,-68,90
"Hugo-1989","AL111989","198909191800",22.6,-68.6,90
"Hugo-1989","AL111989","198909200000",23.5,-69.3,90
"Hugo-1989","AL111989","198909200600",24.4,-70.1,90
"Hugo-1989","AL111989","198909201200",25.2,-71,95
"Hugo-1989","AL111989","198909201800",26.3,-72.2,95
"Hugo-1989","AL111989","198909210000",27.2,-73.4,100
"Hugo-1989","AL111989","198909210600",28,-74.9,100
"Hugo-1989","AL111989","198909211200",29,-76.1,110
"Hugo-1989","AL111989","198909211800",30.2,-77.5,120
"Hugo-1989","AL111989","198909220000",31.7,-78.8,120
"Hugo-1989","AL111989","198909220400",32.8,-79.8,120
"Hugo-1989","AL111989","198909220600",33.5,-80.3,85
"Hugo-1989","AL111989","198909221200",35.9,-81.7,55
"Hugo-1989","AL111989","198909221800",38.5,-81.8,40
"Hugo-1989","AL111989","198909230000",42.2,-80.2,35
"Hugo-1989","AL111989","198909230600",46,-74.5,40
"Hugo-1989","AL111989","198909231200",49,-69,40
"Hugo-1989","AL111989","198909231800",51,-65,40
"Hugo-1989","AL111989","198909240000",52,-62,40
"Hugo-1989","AL111989","198909240600",52.5,-60.5,40
"Hugo-1989","AL111989","198909241200",53,-59.5,40
"Hugo-1989","AL111989","198909241800",53.5,-58.5,40
"Hugo-1989","AL111989","198909250000",54,-57,40
"Hugo-1989","AL111989","198909250600",56,-52,40
"Hugo-1989","AL111989","198909251200",58,-46,40
"Jerry-1989","AL141989","198910121200",19.4,-92.4,25
"Jerry-1989","AL141989","198910121800",19.8,-92.7,30
"Jerry-1989","AL141989","198910130000",20.4,-93,35
"Jerry-1989","AL141989","198910130600",21,-93.2,40
"Jerry-1989","AL141989","198910131200",21.7,-93.3,45
"Jerry-1989","AL141989","198910131800",22.6,-93.4,50
"Jerry-1989","AL141989","198910140000",23.5,-93.5,55
"Jerry-1989","AL141989","198910140600",24.2,-93.3,55
"Jerry-1989","AL141989","198910141200",24.6,-93.1,55
"Jerry-1989","AL141989","198910141800",25,-92.8,55
"Jerry-1989","AL141989","198910150000",25.8,-93.1,55
"Jerry-1989","AL141989","198910150600",26.5,-93.4,55
"Jerry-1989","AL141989","198910151200",27.3,-94,60
"Jerry-1989","AL141989","198910151800",28.1,-94.6,65
"Jerry-1989","AL141989","198910152100",28.6,-94.8,70
"Jerry-1989","AL141989","198910160000",29.1,-95,75
"Jerry-1989","AL141989","198910160030",29.2,-95,75
"Jerry-1989","AL141989","198910160600",30.4,-94.9,35
"Jerry-1989","AL141989","198910161200",32,-94.5,20
"Jerry-1989","AL141989","198910161800",33.8,-93.8,15
"AL01-1990","AL011990","199005241800",18.8,-84,25
"AL01-1990","AL011990","199005250000",19.7,-84,25
"AL01-1990","AL011990","199005250600",20.7,-83.7,25
"AL01-1990","AL011990","199005251200",21.8,-83.3,25
"AL01-1990","AL011990","199005251800",23,-82.8,25
"AL01-1990","AL011990","199005260000",24,-82.2,25
"AL01-1990","AL011990","199005260600",24,-82.2,25
"Bertha-1990","AL031990","199007241200",34,-75,20
"Bertha-1990","AL031990","199007241800",33.6,-73.8,20
"Bertha-1990","AL031990","199007250000",33,-72.7,20
"Bertha-1990","AL031990","199007250600",32.1,-71.9,20
"Bertha-1990","AL031990","199007251200",31.2,-71.8,20
"Bertha-1990","AL031990","199007251800",30.7,-72.2,25
"Bertha-1990","AL031990","199007260000",30.5,-72.8,25
"Bertha-1990","AL031990","199007260600",30.3,-73.4,25
"Bertha-1990","AL031990","199007261200",30.1,-74,25
"Bertha-1990","AL031990","199007261800",29.8,-74.6,25
"Bertha-1990","AL031990","199007270000",29.6,-75.2,25
"Bertha-1990","AL031990","199007270600",29.3,-75.6,30
"Bertha-1990","AL031990","199007271200",29.1,-75.8,30
"Bertha-1990","AL031990","199007271800",28.8,-76,30
"Bertha-1990","AL031990","199007280000",28.6,-75.8,35
"Bertha-1990","AL031990","199007280600",28.8,-75.4,40
"Bertha-1990","AL031990","199007281200",29.1,-74.8,45
"Bertha-1990","AL031990","199007281800",29.6,-74.2,55
"Bertha-1990","AL031990","199007290000",30.2,-73.6,65
"Bertha-1990","AL031990","199007290600",30.8,-73,65
"Bertha-1990","AL031990","199007291200",31.3,-72.2,65
"Bertha-1990","AL031990","199007291800",31.9,-71.2,60
"Bertha-1990","AL031990","199007300000",32.7,-70.2,60
"Bertha-1990","AL031990","199007300600",33.7,-69.2,60
"Bertha-1990","AL031990","199007301200",34.7,-68.3,65
"Bertha-1990","AL031990","199007301800",35.7,-67.5,65
"Bertha-1990","AL031990","199007310000",36.6,-67,70
"Bertha-1990","AL031990","199007310600",37.5,-66.5,65
"Bertha-1990","AL031990","199007311200",38.3,-65.9,65
"Bertha-1990","AL031990","199007311800",39,-65.3,65
"Bertha-1990","AL031990","199008010000",39.6,-64.5,65
"Bertha-1990","AL031990","199008010600",40.3,-63.7,65
"Bertha-1990","AL031990","199008011200",41.1,-62.7,65
"Bertha-1990","AL031990","199008011800",42.4,-61.5,65
"Bertha-1990","AL031990","199008020000",44.2,-60.5,70
"Bertha-1990","AL031990","199008020600",46,-60,60
"Bertha-1990","AL031990","199008021200",48.4,-60,55
"Marco-1990","AL151990","199010091200",22.5,-79.5,25
"Marco-1990","AL151990","199010091800",22.7,-80.7,30
"Marco-1990","AL151990","199010100000",23.5,-81.4,30
"Marco-1990","AL151990","199010100600",24.1,-82,35
"Marco-1990","AL151990","199010101200",24.6,-82.4,40
"Marco-1990","AL151990","199010101800",25.2,-82.5,45
"Marco-1990","AL151990","199010110000",26,-82.6,50
"Marco-1990","AL151990","199010110600",26.7,-82.6,55
"Marco-1990","AL151990","199010111200",27.5,-82.8,50
"Marco-1990","AL151990","199010111800",28.3,-83,40
"Marco-1990","AL151990","199010120000",29.1,-83.1,30
"Marco-1990","AL151990","199010120600",30.7,-83,20
"Marco-1990","AL151990","199010121200",32,-83,20
"Marco-1990","AL151990","199010121800",33.2,-82.6,15
"Marco-1990","AL151990","199010130000",33.7,-81.9,15
"Marco-1990","AL151990","199010130600",33.8,-81.5,15
"Marco-1990","AL151990","199010131200",34,-81,15
"Ana-1991","AL011991","199106291200",25.9,-78,20
"Ana-1991","AL011991","199106291800",25.9,-79,20
"Ana-1991","AL011991","199106300000",25.9,-80,20
"Ana-1991","AL011991","199106300600",26,-80.9,20
"Ana-1991","AL011991","199106301200",26.2,-81.8,20
"Ana-1991","AL011991","199106301800",26.7,-82.4,20
"Ana-1991","AL011991","199107010000",27.3,-82.7,20
"Ana-1991","AL011991","199107010600",28,-82.7,20
"Ana-1991","AL011991","199107011200",28.7,-82.5,20
"Ana-1991","AL011991","199107011800",29.3,-82.2,20
"Ana-1991","AL011991","199107020000",29.9,-81.6,20
"Ana-1991","AL011991","199107020600",30.4,-81,20
"Ana-1991","AL011991","199107021200",30.9,-80.3,20
"Ana-1991","AL011991","199107021800",31.3,-79.7,25
"Ana-1991","AL011991","199107030000",31.5,-79,25
"Ana-1991","AL011991","199107030600",32.5,-77.4,25
"Ana-1991","AL011991","199107031200",33.9,-75.4,30
"Ana-1991","AL011991","199107031800",35.2,-73.4,30
"Ana-1991","AL011991","199107040000",36.2,-70.7,40
"Ana-1991","AL011991","199107040600",37.1,-67.8,45
"Ana-1991","AL011991","199107041200",37.6,-64.7,45
"Ana-1991","AL011991","199107041800",37.9,-61.1,45
"Ana-1991","AL011991","199107050000",38,-57.5,45
"Ana-1991","AL011991","199107050600",37.5,-54.2,40
"Ana-1991","AL011991","199107051200",37,-50.7,35
"Bob-1991","AL031991","199108160000",25.6,-74.3,25
"Bob-1991","AL031991","199108160600",25.7,-74.9,25
"Bob-1991","AL031991","199108161200",25.9,-75.4,30
"Bob-1991","AL031991","199108161800",26.4,-75.8,35
"Bob-1991","AL031991","199108170000",27.1,-76.2,40
"Bob-1991","AL031991","199108170600",27.8,-76.5,45
"Bob-1991","AL031991","199108171200",28.4,-76.9,55
"Bob-1991","AL031991","199108171800",29,-77.1,65
"Bob-1991","AL031991","199108180000",29.7,-77,70
"Bob-1991","AL031991","199108180600",30.5,-76.9,75
"Bob-1991","AL031991","199108181200",31.5,-76.6,80
"Bob-1991","AL031991","199108181800",33,-76.1,85
"Bob-1991","AL031991","199108190000",34.6,-75.3,95
"Bob-1991","AL031991","199108190600",36.5,-74.5,100
"Bob-1991","AL031991","199108191200",38.9,-73,95
"Bob-1991","AL031991","199108191720",41.2,-71.6,90
"Bob-1991","AL031991","199108191800",41.4,-71.4,85
"Bob-1991","AL031991","199108200000",43.8,-69.6,60
"Bob-1991","AL031991","199108200130",44.1,-69.1,60
"Bob-1991","AL031991","199108200600",45.6,-67.6,50
"Bob-1991","AL031991","199108201200",47,-65.5,45
"Bob-1991","AL031991","199108201800",48.4,-61.9,40
"Bob-1991","AL031991","199108210000",49.8,-58.3,40
"Bob-1991","AL031991","199108210600",50.9,-54.9,40
"Bob-1991","AL031991","199108211200",51.6,-51.4,35
"Bob-1991","AL031991","199108211800",51.9,-47.3,30
"Bob-1991","AL031991","199108220000",51.9,-42.8,30
"Bob-1991","AL031991","199108220600",51.5,-38.3,35
"Bob-1991","AL031991","199108221200",50.7,-34.1,40
"Bob-1991","AL031991","199108221800",49.3,-30.3,40
"Bob-1991","AL031991","199108230000",47.7,-26.9,40
"Bob-1991","AL031991","199108230600",46.3,-23.9,40
"Bob-1991","AL031991","199108231200",45.3,-21.4,35
"Bob-1991","AL031991","199108231800",44.2,-19.9,30
"Bob-1991","AL031991","199108240000",43.1,-19.4,25
"Bob-1991","AL031991","199108240600",42.4,-19.1,25
"Bob-1991","AL031991","199108241200",42.2,-18.6,25
"Bob-1991","AL031991","199108241800",42.1,-18.1,25
"Bob-1991","AL031991","199108250000",41.9,-17.9,25
"Bob-1991","AL031991","199108250600",41.7,-17.8,25
"Bob-1991","AL031991","199108251200",41.3,-17.6,25
"Bob-1991","AL031991","199108251800",40.9,-17.3,25
"Bob-1991","AL031991","199108260000",40.5,-16.8,25
"Bob-1991","AL031991","199108260600",40.2,-16,25
"Bob-1991","AL031991","199108261200",40,-15.2,20
"Bob-1991","AL031991","199108261800",39.9,-14.4,20
"Bob-1991","AL031991","199108270000",39.9,-13.8,20
"Bob-1991","AL031991","199108270600",40,-13.1,20
"Bob-1991","AL031991","199108271200",40,-12.4,20
"Bob-1991","AL031991","199108271800",40,-11.8,20
"Bob-1991","AL031991","199108280000",40,-11.3,15
"Bob-1991","AL031991","199108280600",40,-10.9,15
"Bob-1991","AL031991","199108281200",40,-10.5,15
"Bob-1991","AL031991","199108281800",40,-10.1,10
"Bob-1991","AL031991","199108290000",40,-9.9,10
"Fabian-1991","AL091991","199110150000",18.9,-85.7,25
"Fabian-1991","AL091991","199110150600",19.5,-85.1,30
"Fabian-1991","AL091991","199110151200",20.3,-84.1,35
"Fabian-1991","AL091991","199110151800",21.2,-83.1,40
"Fabian-1991","AL091991","199110152100",21.5,-82.8,40
"Fabian-1991","AL091991","199110160000",22.4,-81.8,40
"Fabian-1991","AL091991","199110160600",23.9,-80.8,40
"Fabian-1991","AL091991","199110160834",24.5,-80.5,40
"Fabian-1991","AL091991","199110161200",25.2,-79.8,40
"Fabian-1991","AL091991","199110161800",26.5,-78.5,40
"Fabian-1991","AL091991","199110170000",30,-75.5,40
"AL12-1991","AL121991","199110281800",44,-59,30
"AL12-1991","AL121991","199110290000",43,-57.5,40
"AL12-1991","AL121991","199110290600",42.5,-55.5,45
"AL12-1991","AL121991","199110291200",41,-56,50
"AL12-1991","AL121991","199110291800",39.5,-57.5,50
"AL12-1991","AL121991","199110300000",39,-59.5,55
"AL12-1991","AL121991","199110300600",39,-61.5,60
"AL12-1991","AL121991","199110301200",39,-63.5,60
"AL12-1991","AL121991","199110301800",39.6,-65.8,60
"AL12-1991","AL121991","199110310000",40,-68.5,55
"AL12-1991","AL121991","199110310600",39,-71,55
"AL12-1991","AL121991","199110311200",37.7,-71.5,50
